uid,shard,migration_ts,migrated_status
4yH6vVyuRdc19Ep9gDws7XRCW4I2,1,1679390807214,success
KNBwMc2tB5cOF9aM75yu2kDTVuu1,1,1679390931174,success
mY2oEbLFxsRdQHM2AG0jHQsdRNb2,1,1679390940059,success
79ZiXqccKfOld2dCRFgCPGrmlub2,1,1679391060955,success
Aw7z7IuNQ4QQQMqQjMR6h211O6y1,1,1679391063620,success
d1Gf1Tt29QRnFGeKiBMdgpAk6c93,1,1679391144451,success
oHXEBqILYtWKavzu2Ax9preL81Q2,1,1679391168672,success
qMRkZtb9oqeYGqoCVGYuJM6k6iA3,1,1679391253719,success
3CV2i3hg0Yh8M6zrcnXFKpDuyHr2,1,1679391284669,success
VWKwH2cXOSaqeC5h2hod0qtvuBp2,1,1679391336450,success
XR5DF17xv5eZfbTrPXO7pSTaYk63,1,1679391337505,success
WDTiaw8GpMfZRT3Kom0k5SNmRZR2,1,1679391354688,success
QtsVcFRzu3ddUzrnFKNYHG4JO0o2,1,1679391373219,success
VYr7YAd6E8dlK1Mb26P0ArFvivk2,1,1679391431899,success
dajT4fZJDxRur0hYetuWPY3RfrW2,1,1679391443344,success
Ayrgwg9TCNPRyw1e8OXeqyeZFo53,1,1679391502396,success
arfMpjWxFoS3LUoo6leUMixZx2O2,1,1679391553578,success
AzjYmwCJCgf6accJpPOWwVpVfXD2,1,1679391581902,success
i4VuY8qn9EVnn83dd0R2I8iFFoc2,1,1679391585992,success
Zme9UMUMluMpFQ4mxaDV3bRQAPJ3,1,1679391698232,success
2woPCZVXIjNF27S8O9tXDwUCHW12,1,1679391801885,success
fcBJNh2H7oWlgUukGvzXlpCa0IQ2,1,1679391814576,success
qzKnIROa0MRlsmk41BHQdlXe7Jz2,1,1679391821816,success
TfLpnF3McxM7Ehl8DSoobOPNJfD2,1,1679391860489,success
Cm1YxiWMegNrdQoR5fK4oXgyzzm1,1,1679391870961,success
aOaGBviiA7MI3pbY99zZAF7rjwv1,1,1679391871631,success
3FIiH0k1Ukeayw1xtKB1Mr0h3St1,1,1679391930584,success
EWuYnU1axlYwkxP4h3bqmHzpNXr2,1,1679391958278,success
rttBnzQF6iQKb7Hy7kisT2cYgrL2,1,1679391978985,success
sbe0vC6dglZCzKnWcux3wSFGRLG3,1,1679392010506,success
Qb9qDT1HiKN4rYWjqJLCXVzGjr12,1,1679392062011,success
1iCaaC3zxTbXv0Vsk1zb8JhbPXb2,1,1679392076154,success
wyqQY2riJoT3uE2R6aKGiYK36Kq2,1,1679392125132,success
mq0H2LArsHbXMc8PkbQUqcyiDRs2,1,1679392174520,success
OBszkWPqXTa9rVhRyO7lgWMm3oW2,1,1679392212875,success
ICaop8XVqPW1sjZI6K4ge1Ds0to1,1,1679392217964,success
OBDpLrDViOfgKgfXqcjFopYtdHt2,1,1679392264776,success
m0lxeRMyL7XORozbB7xQI4wb93l2,1,1679392307312,success
BoVxwP0I5daEqkkisWiHiik7HOA3,1,1679392328198,success
fRmem6MW1uXGkzXTJUjkhxZMrnk1,1,1679392422136,success
KsXx9VvAA1MpmwsNIwPSMEUhJpH3,1,1679392507256,success
w7rt32JhlgY4wliHIEli604ErpG2,1,1679392511276,success
3UTSN0tDjfgj8b1QZRdFluJtnnm1,1,1679392519561,success
kaKEKMu3zCdWCszhaFI6f7Een1U2,1,1679392520281,success
AkV12wmQgIQV2INO0clB0cDJcj73,1,1679392530777,success
STGsmhUmPlNA2uTYmQ0ZCiSlKDF2,1,1679392571399,success
JSWBxwKG1TU8MCmgGRUIKbkjz2K2,1,1679392579448,success
s3NLbBsMsaQmMdBYAPxVxuLvvdc2,1,1679392609504,success
HPkGI1pwPNPgTxBkZot5PIjcwAp2,1,1679392639996,success
K5CiMjxEKTVAdjm0GAPZmfIfcIw1,1,1679392682696,success
RJwcdDL511QyEp7HAyIeAHtkHTh1,1,1679392731781,success
1ggYDxCvfhWwSdH2lE0swug7oax2,1,1679392735711,success
Rxvo92yCIvPPqCD7FQ8QNWHJrlx2,1,1679392873692,success
jnSZAfbBQxNFGqBrnRlkAdWdgPI2,1,1679392929797,success
R24Aqvz713bOlx5Ng9ekk235jZe2,1,1679392976763,success
vepuJLB4SxRjO4LJ4LP3goTmgmp2,1,1679392988168,success
3RXJaYLMeKMsU8X9SFEGmtcXs0i1,1,1679393058391,success
CrnA8bk2mtdjOZKc71g02P9thUv2,1,1679393064212,success
NsNusp3HB1duzFvsK81twd6HpjD2,1,1679393095892,success
Y863Ldfe3ghO77DZeCvsIw4LVbl2,1,1679393137047,success
UzysA4SCu5hIbKHfJHPika2VgNn2,1,1679393149319,success
BMnX5jnhPOgYxsKUsueuCNwxyE03,1,1679393192403,success
jpqU4eUQeEfYRKrkpC0PlVpISn62,1,1679393212151,success
5qtObvYwGibKLpqpr9w3OrAx30V2,1,1679393281358,success
pbHmLR8HyIgFYGeImvj65iJKDxW2,1,1679393308466,success
iRO4Cz2WEpbXsXWchoVuW7CK6RF2,1,1679393341453,success
j4hsXc4tlBc9bUKbnWx0j51vZUA3,1,1679393354468,success
2akS7zifc5PWaP7P2iMCdcEzWW02,1,1679393358292,success
2kezXwrzrCTPx72NtkGn1zOw1b13,1,1679393419212,success
rZWkjxtpnHP5mH7aNbdqCxj12cL2,1,1679393439361,success
cZ1uggLfdwfoHMJJ3NtZXVgOcWg1,1,1679393446060,success
PkiwpTkRPZa4rjDUGL3UHfoduzg2,1,1679393453544,success
Z9cqo1YsN8P2TXqlYlUW2Fa3DsL2,1,1679393513096,success
5BWMlGYK8kbE1ry3XSLboALTgo42,1,1679393524793,success
mCdo45eUgDYqEEwVB5tRjRr68mx1,1,1679393629042,success
GWP6lRusJ2ZeTB7WNk2chmPhnxF3,1,1679393630843,success
UsuYwgCEuGfPzfdjqD76lpLMB322,1,1679393651226,success
GooPQDT7WvT8mru7kbKO4mD3InG3,1,1679393724912,success
zOdoXi08hgMQ1sx4i43NUbrBm1t1,1,1679393747052,success
cKsGxpPrC1O2XOwVgIE9HG8y7Hj2,1,1679393753727,success
SVHxbAhKpld1uYfnviGSgK0IfhI3,1,1679393772993,success
TmWuJVxmxbVv3IQdMWBlfn9KX253,1,1679393773723,success
lw5dssKNhsR3weEXPmY7nkGaB1E2,1,1679393780313,success
XkWVdEglTicHocrBbSMQem9s2MO2,1,1679393801614,success
2KZLgQ1q1ReS3gfjC9TapzD0aQy1,1,1679389654993,success
qlsmyBunxAXJ7YbicMJBt1uUtX92,1,1679389662376,success
a4zjMPNISifvaF3mfHPNzhevlyg1,1,1679389687848,success
fnf3Xqlb28VxVthYiZ0nrxAsUW72,1,1679389709903,success
c6v08dZwSIazzWNkS7Tbsg3gi6R2,1,1679389749972,success
rOKzefb6LFXouCZ8ANcVmReR18j1,1,1679389791823,success
Wl3GfDAE2dgacsBIH68kpnD1uSH2,1,1679389794757,success
gXF8XcTCDaZINOotzIH6XBwLYPu1,1,1679389814784,success
lurdfY0fjSSQfIGdNUl8txuVdsc2,1,1679389817388,success
0WTvUH2hcUbyDmGmGFUKE64Nclt2,1,1679389828799,success
KPxVrqGD8bNFGuLI5c38m2RB83B2,1,1679389862998,success
WqIZz3jmbqP0tdWzJBo1750j5nm1,1,1679389870309,success
WqNT4y4mvaTaQYFjeNPeMfcGCQA3,1,1679389871817,success
09IN1VeGP3SRgX37DMOlf4vz60D3,1,1679389906588,success
R36chzkiIZO5542t8RsACQLVuwo2,1,1679389907235,success
XZnYcr2w1aTXQBRXA29eVnQHN4k2,1,1679389919075,success
HEpBc7AfSwWR0fpElux8DYavkj92,1,1679389930383,success
QqVy4cXXu0WxjtfqQr7nFkAXgOx1,1,1679389941118,success
YzxYOv9GLqY5tWKJmlBhhcJcnzm1,1,1679389956871,success
p7V9p23QBihqmwwJVqJ6tmfMYql2,1,1679389957382,success
fUxp35EN0Cdi2iNKDhs9UgC4w6y1,1,1679389958891,success
WdwBQlHc8rMpUzTaJtcdV16BKeu2,1,1679389992896,success
4VbWKgpi7JUGzjiUr00IgSrgW8v2,1,1679390006678,success
C9zKRTie4JM9Q4TuCalcTqjusAs1,1,1679390031180,success
P91aJdTHR9ZihQ3DI9C6lZVBLF93,1,1679390070979,success
38Omad3gledrRxvyXE0VVajAz8L2,1,1679390082766,success
29lCPXKIGwhngCc1fPzR9IjogTl1,1,1679390103912,success
0ThNfPxpAvfLknfgMlTuYgOmeA23,1,1679390120461,success
4DdlEwkLnberQAhdFQzYZNN6QJ52,1,1679390166332,success
A2aC0TgHCPWz1OWO1vOIT5QR8OJ2,1,1679390189336,success
XsazqQDvsBRHo76mqVZrW47bJyk1,1,1679390213269,success
Lq7yTErrTpSisqJ6czTezGkTAjU2,1,1679390216440,success
rHPUX8sbPtN9nRt7VxSWy27jvOP2,1,1679390220913,success
RiIvrSaEMMV1C9fUHFSnaZVt8r83,1,1679390254769,success
2XCtCantwpbc8HlwdRO3MZSsCBT2,1,1679390260641,success
bonGLZCXcHZeyGAP7i9qIhLceCw2,1,1679390274132,success
Gzpo9AlqtDSEOTrko8dHF8kCZM53,1,1679390276207,success
oUd8CPiBAMPxo2Q8WeZWWIAt4f12,1,1679390277122,success
tdHenY3mjUYegqxoLhT8oVPa9s23,1,1679390358196,success
Eg8BZfY8pmX6Po9xpevbirOjTT32,1,1679390368052,success
8zmArMF6Kpem3JyGpNl85vGRZ3J2,1,1679390371314,success
T2ysxPYXZsf5S5qvEl4Yv9P1Eaw2,1,1679390372969,success
wQjwm1VY4fVLVxhur4L7Pk3FHCm2,1,1679390392834,success
7gOHx2kGg3MdvUvuQP2BhyHQqYx2,1,1679390445400,success
lHeZzkL8qyNGCZJVEAuTlPBryHr2,1,1679390476854,success
stYMis1Prhaok9T30pE4Rl8aN583,1,1679390513526,success
qG5nHMpQXJTCEaCiPUF9FjUvodn2,1,1679390563251,success
CxDZLQ73QFN89BtCJrsb6hkNMxg1,1,1679390572460,success
ytdnp9TZqYVUw3Ko9tuzundfHc42,1,1679390577818,success
z8vxIxApEudLl0CA8Fv2bUkh3oK2,1,1679390593210,success
qQ8K4k8DTabjyRLPbEAfb6bl0Rf1,1,1679390597738,success
2FdwU3H5PRSEi8X9LzMTqb7L7pX2,1,1679390676955,success
1r8TiIDsgQO8cMDPOy8k02NmWW82,1,1679390724883,success
RzjoEPTVMMcVznBTg7i3idQRqiy1,1,1679390743716,success
rOYZd9fjQ9MgngtR0VvLlfnlW2q2,1,1679390744965,success
VJYcGSv9qSMQC2js9RLCvEpgP4J3,1,1679390830455,success
54D432XmKHf4GxnCH7hswgqIjPH2,1,1679390845235,success
iz32qF6YWoa6Kj5mO1Y0WGauImG2,1,1679390870118,success
oAX2lI1uO6ZJQyedwtwftH0j84M2,1,1679390889186,success
APPs8KSH1JO7PC6Am83XKBKAb613,1,1679390891533,success
zyaMHnFUSfSHmJ7ZFWYpqWuyjz93,1,1679390894179,success
pvn02EuZlJZk7mGlzcbLBft1kJ22,1,1679390922799,success
ca2oQ49hXRc88i9WIFg0M5b4Gve2,1,1679390928228,success
QqjZvoyAnPXiKbv17Tq9xiRsIWt1,1,1679390947316,success
0CJwOIL4WraQKUMKrUDrUbMZ23c2,1,1679390984437,success
4bO7oi0djfaALQMLHYYn6zwnErh1,1,1679390984846,success
60pmrTEFg2NrlhOpOdW8dDcGEmi1,1,1679391007706,success
GGXsXJVkKvY44Qgo0PTRBLI5Kqt1,1,1679391053420,success
H1jgil17wPS40kh9ZxPPc9mp7yh2,1,1679391109978,success
GLWZPsLBAHPEUEqO52ieXfhSDC22,1,1679391123443,success
DNY3kqmUFKXelSDzzTPXfYIHHT52,1,1679391134828,success
6u4c61uHNGb3zbyVdiHwcIPnpeL2,1,1679391179743,success
pzeftyJ3vTPk7Roy40ImBuAQWlo2,1,1679391186609,success
q2ZcvV03LRcMoh5LzGF3yQgyvp83,1,1679391192596,success
AFYAKmcxbPMZiSIO7ee000BlMWe2,1,1679391231158,success
9JoBGaEQgDPygo195iuj6KgkQhw2,1,1679391236778,success
2n1Zq58yhuNRWawOdoNmcC4qu5I2,1,1679391245112,success
